english,polish,alternatives
tobacco,tytoń,təˈbækəʊ
tobacconist,sklep z papierosami,təˈbækənɪst
today,təˈdeɪ,
toddle,ˈtɒdəl,
toddler,małe dziecko,pędrak|ˈtɒdlə
toddy,grog,ˈtɒdɪ
todo,to-do,təˈdu:|wrzawa|zamieszanie
toe,1.  palec u nogi,təʊ
toenail,paznokieć,paznokieć palca nogi|ˈtəʊneɪl
toffee,toffi,ˈtɒfɪ
together,təˈgeðə,
toil,tɔɪl,
toilet,"ubikacja
 2.  miska klozetowa",ˈtɔɪlɪt
toiletries,przybory toaletowe,ˈtɔɪlɪtrɪz
token,ˈtəʊkən,
tokyo,tokio,ˈtəʊkɪəʊ
tolerable,do wytrzymania,znośny|ˈtɒlərəbəl
tolerance,tolerancja,wyrozumiałość|ˈtɒlərəns
tolerant,tolerancyjny,ˈtɒlərənt
tolerate,tolerować,znosić|ˈtɒləreɪt
toll,təʊl,
tomato,pomidor,təˈmɑ:təʊ
tomb,grobowiec,tu:m
tomboy,chłopczyca,ˈtɒmbɔɪ
tombstone,płyta nagrobna,ˈtu:mstəʊn
tomcat,kocur,ˈtɒmkæt
tomorrow,jutro,təˈmɒrəʊ
ton,tʌn,
tone,təʊn,
tonedeaf,bez słuchu muzycznego,niemuzykalny|tone-deaf|ˌtəʊnˈdef
tongs,szczypce,tɒŋz
tongue,tʌŋ,
tonguetied,tongue-tied,ˈtʌŋtaɪd
tonguetwister,tongue-twister,wyrażenie trudne do wymówienia|ˈtʌŋˌtwɪstə
tonic,ˈtɒnɪk,
tonight,i.    dzisiaj wieczorem,"təˈnaɪt|wieczorem
ii.    dzisiejszy"
tonnage,tonaż,ˈtʌnɪʤ
tonne,tʌn,
tonsil,migdałek,ˈtɒnsəl
tonsillitis,zapalenie migdałków,ˌtɒnsɪˈlaɪtɪs
too,aż nazbyt,"także
 2.  zbyt|tu:"
tool,tu:l,
toot,"i.    trąbić
ii.    zatrąbienie",tu:t
tooth,tu:θ,ząb
toothache,ból zęba,ˈtu:θeɪk
toothbrush,szczoteczka do zębów,ˈtu:θbrʌʃ
toothpaste,pasta do zębów,ˈtu:θpeɪst
toothpick,wykałaczka,ˈtu:θpɪk
topheavy,przeciążony na górze,top-heavy|ˌtɒpˈhevɪ
topic,temat,zagadnienie|ˈtɒpɪk
topical,aktualny,ˈtɒpɪkəl
toplevel,na najwyższym szczeblu,top-level|ˌtɒpˈlevəl
topmost,najwyższy,ˈtɒpməʊst
topping,polewa,wierzch|ˈtɒpɪŋ
topple,ˈtɒpəl,
topsecret,top-secret,ściśle tajny|ˌtɒpˈsi:krət
topup,dolewka,top-up|ˈtɒpʌp
torch,tɔ:ʧ,
torment,dręczyć,"torment
i.    męka|udręka
ii.    męczyć"
tormentor,dręczyciel,tɔ:ˈmentə
torn,rozdarty,tɔ:n
tornado,tɔ:ˈneɪdəʊ,
torpedo,"i.    torpeda
ii.    torpedować",tɔ:ˈpi:dəʊ
torrent,potok,ˈtɒrənt
torso,tors,ˈtɔ:səʊ
tortoise,żółw,ˈtɔ:təs
tortoiseshell,szylkret,ˈtɔ:təsʃel
tortuous,ˈtɔ:tjʊəs,
torture,"i.    tortura
ii.    torturować",ˈtɔ:ʧə
tory,torys,ˈtɔ:rɪ
toss,"przewracać
 3.  rzucać monetę","rozstrzygać przez rzut monety|rzucać
 2.  wstrząsać|tɒs"
tot,1.  berbeć,"dzidziuś
 2.  kieliszeczek|tɒt"
total,ˈtəʊtəl,
totalitarian,totalitarny,təʊˌtælɪˈteərɪən
totter,ˈtɒtə,
touch,być na bieżąco,"być w kontakcie|dotykać
 2.  stykać się|kontaktować się
 3.  poruszać|tʌʧ"
touchdown,lądowanie,wodowanie|ˈtʌʧdaʊn
touching,poruszający,wzruszający|ˈtʌʧɪŋ
touchy,drażliwy,ˈtʌʧɪ
tough,tʌf,
toughen,1.  wzmacniać,"utwardzać
 2.  twardnieć|ˈtʌfən"
toupee,mała peruka,peruka|ˈtu:peɪ
tour,"objazd
 2.  wycieczka","tʊə|zwiedzanie
ii.    objeżdżać"
tourism,turystyka,ˈtʊərɪzəm
tourist,turysta,ˈtʊərɪst
tournament,turniej,ˈtʊənəmənt
tousled,rozczochrany,ˈtaʊzəld
tout,sprzedawca biletów,taʊt
tow,təʊ,
toward,1.  w kierunku,towards|təˈwɔ:d
towards,1.  w kierunku,toward|təˈwɔ:d
towel,ręcznik,ˈtaʊəl
towelling,tkanina froté,ˈtaʊəlɪŋ
tower,ˈtaʊə,ˈtaʊəblɒk
towering,wyniosły,ˈtaʊərɪŋ
towpath,ścieżka,ˈtəʊpɑ:θ
towrope,lina holownicza,ˈtəʊrəʊp
toxic,toksyczny,ˈtɒksɪk
toy,tɔɪ,
trace,"kopiować
ii.    ślad",treɪs
tracing,ˈtreɪsɪŋ,
track,nie wiedzieć,træk
tracker,tropiciel,ˈtrækə
tracksuit,dres,ˈtræksu:t
tract,trækt,
tractor,ˈtræktə,
trade,działacz związku zawodowego,treɪd|związkowiec|ˈtreɪdneɪm|ˌtreɪdˈju:nɪən
trademark,ˈtreɪdmɑ:k,
trader,handlarz,kupiec|ˈtreɪdə
tradesman,handlowiec,ˈtreɪdzmən
tradition,tradycja,trəˈdɪʃən
traditional,tradycyjny,trəˈdɪʃənəl
traffic,światła drogowe,ˈtræfɪk|ˈtræfɪklaɪts
tragedy,tragedia,ˈtræʤɪdɪ
tragic,tragiczny,ˈtræʤɪk
trail,ciągnąć,"tracić|treɪl|wlec
 2.  tracić punkty|wlec za sobą"
trailer,ˈtreɪlə,
train,koleją,treɪn
trained,szkolony,wykwalifikowany|ˈtreɪnd
trainee,praktykant,treɪˈni:
trainer,ˈtreɪnə,
traipse,ciągnąć się,treɪps|włóczyć się
trait,cecha,treɪt
traitor,zdrajca,ˈtreɪtə
tram,tramwaj,træm
tramp,træmp,
trample,1.  deptać,"nadepnąć 
 2.  zdeptywać|ˈtræmpəl"
trampoline,trampolina,ˈtræmpəlɪn
trance,trans,trɑ:ns
tranquil,spokojny,ˈtræŋkwɪl
transact,przeprowadzać,trænˈzækt
transaction,transakcja,trænˈzækʃən
transcend,przekraczać,trænˈsend
transcendental,transcendentny,ˌtrænsənˈdentəl
transcribe,transkrybować,trænsˈkraɪb
transcript,"transkrypcja
 2.  odpis",ˈtrænskrɪpt
transfer,naklejka,
transform,przekształcać,trænsˈfɔ:m
transformer,transformator,trænsˈfɔ:mə
transfuse,trænsˈfju:z,
transfusion,przetoczenie,transfuzja|trænsˈfju:ʒən
transient,efemeryczny,przelotny|ˈtrænzɪənt
transistor,tranzystor,trænˈzɪstə
transit,przejazdem,ˈtrænzɪt
transition,przejście,trænˈzɪʃən|zmiana
transitive,przechodni,ˈtrænzɪtɪv
transitory,przejściowy,ˈtrænzɪtərɪ
transl,tłumaczenie,
translate,przekładać,trænsˈleɪt|tłumaczyć
translation,przekład,trænsˈleɪʃən|tłumaczenie
translator,trænsˈleɪtə,tłumacz
transmission,1.  przenoszenie,"przesyłanie
 2.  transmisja|trænzˈmɪʃən"
transmit,1.  przesyłać,"przekazywać|przenosić 
 2.  transmitować|trænzˈmɪt"
transmitter,przekaźnik,trænzˈmɪtə
transparency,trænsˈpærənsɪ,
transparent,"1.  przezroczysty
 2.  przejrzysty",oczywisty|trænsˈpærənt
transpire,trænsˈpaɪə,
transport,przewozić,"transport
i.   1.  transport"
transportation,transport,ˌtrænspɔ:ˈteɪʃən
transverse,poprzeczny,trænzˈvɜ:s
transvestite,transwestyta,trænzˈvestaɪt
trap,i.    pułapka,"træp|zamknąć
 3.  zwabiać|znęcać
 4.  przechwytywać|znęcać w pułapkę"
trapdoor,zapadnia,ˈtræpdɔ:
trapeze,trapez,trəˈpi:z
trapper,traper,ˈtræpə
trappings,atrybuty,ornamenty|ˈtræpɪŋz
trash,kicz,træʃ
trashcan,kubeł na śmieci,ˈtræʃkæn
trashy,bezwartościowy,kiczowaty|ˈtræʃɪ
trauma,cierpienie,ˈtrɔ:mə
traumatic,traumatyczny,trɔ:ˈmætɪk|urazowy
travel,"jeździć
 2.  przenosić się",pracownik biura podróży|ˈtrævəl|ˈtrævəl ˌeɪʤənsɪ|ˈtrævəl ˌeɪʤənt
traverse,przecinać,trəˈvɜ:s
travesty,parodia,trawestacja|ˈtrævəstɪ
trawler,ˈtrɔ:lə,
tray,taca,treɪ
treacherous,zdradliwy,ˈtreʧərəs
treachery,zdrada,ˈtreʧərɪ
treacle,syrop,ˈtri:kəl
tread,tred,
treas,"treas.
  skarbnik",
treason,zdrada,ˈtri:zən
treasure,ˈtreʒə,
treasurer,skarbnik,ˈtreʒərə
treasury,ˈtreʒərɪ,
treat,"nasycać
 4.  fundować","stawiać
ii.    szczególna uroczystość|tri:t"
treatise,ˈtri:tɪs,
treatment,1.  leczenie,"terapia
 2.  traktowanie|ˈtri:tmənt"
treaty,traktat,ˈtri:tɪ
treble,trzy razy,ˈtrebəl
tree,drzewo,tri:
treetop,korona drzewa,ˈtri:tɒp
trek,"i.    podróżować
ii.    podróż",
tremble,drżeć,ˈtrembəl
tremendous,niebywały,ogromny|trəˈmendəs
tremor,drżenie,ˈtremə
trench,okop,rów|trenʧ
trend,kierunek,tendencja
trendy,modny,ˈtrendɪ
trepidation,niepokój,przestrach|ˌtrepɪˈdeɪʃən
trespass,wchodzić,wtargnąć|ˈtrespəs
trespasser,wstęp surowo wzbroniony'',ˈtrespəsə
tress,tres,warkocz
triangle,trójkąt,ˈtraɪæŋgəl
triangular,traɪˈæŋgjələ,trójkątny
tribal,plemienny,szczepowy|ˈtraɪbəl
tribe,plemię,szczep|traɪb
tribesman,członek szczepu,ˈtraɪbzmən
tribunal,traɪˈbju:nəl,trybunał
tributary,dopływ,ˈtrɪbjətərɪ
tribute,ˈtrɪbju:t,
trice,traɪs,
trick,i.    oszukiwać,trɪk
trickery,oszustwo,podstęp|ˈtrɪkərɪ
trickle,ciec,"i.    ciec strużką|strumyczek|sączyć się
ii.    strużka|wątły strumyczek"
tricky,podchwytliwy,podstępny|ˈtrɪkɪ
trifle,1.  drobiazg,"bagatela
 2.  przekładaniec|odrobinę|ˈtraɪfəl"
trifling,nieważny,nieznaczny|ˈtraɪflɪŋ
trigger,i.    język spustowy,ˈtrɪgə
trilogy,trylogia,ˈtrɪləʤɪ
trimming,1.  ozdóbka,"przystrojenie
 2. trimmings  dodatki|ˈtrɪmɪŋ"
trinket,ozdóbka,świecidełko|ˈtrɪŋkɪt
trio,ˈtri:əʊ,
trip,przewracać,trɪp
tripartite,traɪˈpɑ:taɪt,trójstronny
tripe,traɪp,
triple,"i.    potrójny
ii.    potrajać",ˈtrɪpəl
triplets,trojaczki,ˈtrɪplɪts
tripod,statyw,ˈtraɪpɒd
trite,banalny,traɪt
triumph,"i.    triumf
ii.    triumfować",ˈtraɪəmf
triumphal,traɪˈʌmfəl,triumfalny
trivia,banały,ˈtrɪvɪə
trivial,banalny,nie znaczący|ˈtrɪvɪəl
trolley,ˈtrɒlɪ,
trombone,puzon,trɒmˈbəʊn
troop,i.    oddział,"tru:p|wojsko
ii.    przegrupowywać się"
trooper,żołnierz,ˈtru:pə
trophy,trofeum,ˈtrəʊfɪ
tropic,tropik,ˈtrɒpɪk
tropical,tropikalny,ˈtrɒpɪkəl
trot,trɒt,
trouble,ˈtrʌbəl,
troubled,1.  zmartwiony,"zachwiany|zakłopotany
 2.  zaburzony|ˈtrʌbəld"
troublemaker,sprawca kłopotów,ˈtrʌbəlmeɪkə
troublesome,kłopotliwy,ˈtrʌbəlsəm
trough,trɒf,
troupe,tru:p,trupa
trousers,spodnie,ˈtraʊzəz
trout,pstrąg,traʊt
trowel,1.  łopatka ogrodnicza,"łopatka
 2.  kielnia|ˈtraʊəl"
truancy,wagary,ˈtru:ənsɪ
truant,ˈtru:ənt,
truce,rozejm,tru:s
truck,lora,trʌk
truculent,wojowniczy,ˈtrʌkjʊlənt
trudge,i.    iść z trudem,trʌʤ
true,tru:,
truffle,trufel,ˈtrʌfəl
truly,z poważaniem'',ˈtru:lɪ
trump,trump card  atut,trʌmp
trumpet,ˈtrʌmpɪt,
trumpeter,trębacz,ˈtrʌmpɪtə
truncate,obcinać,okaleczać|trʌŋˈkeɪt
truncheon,pałka,ˈtrʌnʧən
trundle,toczyć,toczyć się|ˈtrʌndəl
trunk,trʌŋk,
trust,trʌst,"wierzyć 
 2.  zaufać"
trustee,"1.  powiernik
 2.  zarządca",trʌsˈti:
trustful,ufny,ˈtrʌstfʊl
trusting,ufny,ˈtrʌstɪŋ
trustworthy,godny zaufania,ˈtrʌstwɜ:ðɪ
trusty,ulubiony,zaufany|ˈtrʌstɪ
truth,prawda,tru:θ
truthful,prawdziwy,ˈtru:θfʊl
try,traɪ,
trying,ciężki,dojmujący|ˈtraɪɪŋ
tshirt,koszulka trykotowa,podkoszulka|t-shirt|ˈti:ʃɜ:t
tu,"tu.
  wtorek",związek zawodowy
tub,tʌb,
tuba,ˈtju:bə,
tubby,przysadzisty,ˈtʌbɪ
tube,tju:b,
tuber,bulwa,ˈtju:bə
tubercular,"i.    gruźliczy
ii.    gruźlik",tjʊˈbɜ:kjʊˈlə
tuberculosis,gruźlica,tjʊˌbɜ:kjʊˈləʊsɪs
tubing,rury,system rur|ˈtju:bɪŋ
tubular,rurkowy,rurowaty|ˈtju:bjʊlə
tuck,i.    wpychać,tʌk|zawijać
tues,"tues.
  wtorek",
tuesday,wtorek,ˈtju:zdɪ
tuft,kępka,pęczek|tʌft
tug,tʌg,
tuition,tjʊˈɪʃən,
tulip,tulipan,ˈtju:lɪp
tumbler,szklanka,ˈtʌmblə
tummy,brzuszek,ˈtʌmɪ
tumor,guz,nowotwór|tumour|ˈtju:mə
tumour,guz,nowotwór|tumor|ˈtju:mə
tumult,wrzawa,ˈtju:mʌlt
tuna,tuna fish,tuńczyk|ˈtju:nə
tuna fish,tuna,tuńczyk|ˈtju:nə
tuneful,melodyjny,ˈtju:nfʊl
tunic,bluza,ˈtju:nɪk
tunisia,tjʊˈnɪzɪə,tunezja
tunisian,"i.    tunezyjski
ii.    tunezyjczyk",tjʊˈnɪzɪən
tunnel,ˈtʌnəl,
turban,ˈtɜ:bən,
turbine,turbina,ˈtɜ:baɪn
turbulent,burzliwy,ˈtɜ:bjələnt
turf,tɜ:f,
turgid,napuszony,ˈtɜ:ʤɪd
turk,turek,tɜ:k
turkey,indyk,turcja|ˈtɜ:kɪ
turkish,turecki,ˈtɜ:kɪʃ
turmoil,niepokój,ˈtɜ:mɔɪl
turning,punkt zwrotny,ˈtɜ:nɪŋ|ˈtɜ:nɪŋpɔɪnt
turnip,rzepa,ˈtɜ:nɪp
turnout,frekwencja,publiczność|ˈtɜ:naʊt
turnover,1.  fluktuacja kadr,"fluktuacja
 2.  obrót|przerób|ˈtɜ:nəʊvə"
turntable,talerz,talerz gramofonu|ˈtɜ:nteɪbəl
turnup,mankiet,turn-up|ˈtɜ:nʌp
turpentine,terpentyna,ˈtɜ:pəntaɪn
turquoise,"i.    turkusowy
ii.    turkus",ˈtɜ:kwɔɪz
turret,wieżyczka,ˈtʌrɪt
turtle,żółw,ˈtɜ:təl
turtleneck,ˈtɜ:təlnek,
tusk,kieł,tʌsk
tussle,i.    szamotać się,"szarpanina|szarpać się
ii.    szamotanina|ˈtʌsəl"
tut,no no,tʌt
tutor,ˈtju:tə,
tutorial,"i.    seminarium
ii.    seminaryjny",tjʊˈtɔ:rɪəl
tuxedo,smoking,tʌkˈsi:dəʊ
tv,ˌtɪ:ˈvi:,
twaddle,bzdury,ˈtwædəl
twang,brzdąkać (sth - czymś,"brzęknięcie
ii.    brzęczeć|twæŋ|w coś)"
tweed,twi:d,
tweet,twi:t,ćwierkać
tweezers,pinceta,ˈtwi:zəz
twelfth,dwunasty,ˈtwelfθ
twelve,dwanaście,twelv
twentieth,dwudziesty,ˈtwentɪəθ
twenty,dwadzieścia,ˈtwentɪ
twice,dwa razy,dwukrotnie|twaɪs
twiddle,kręcić,obracać|ˈtwɪdəl
twig,gałązka,twɪg
twilight,zmierzch,zmrok|ˈtwaɪlaɪt
twin,"i.    bliźniak
ii.    bliźniaczy",podwójny|twɪn
twine,"linka
ii.    okręcać",twaɪn
twinge,odczucie,twɪnʤ
twinkle,błysk,ˈtwɪŋkəl
twirl,kręcić,kręcić się|obracać|obracać się|twɜ:l
twist,"obracać
 2.  odkręcać","obracać się|skręt
 2.  wykręcenie|twɪst|wykręcać"
twit,dureń,twɪt
twitch,twɪʧ,
twitter,ćwierkać,świergotać|ˈtwɪtə
two,tu:,
twofaced,dwulicowy,two-faced|ˌtu:ˈfeɪst
twoway,"1.  dwustronny
 2.  nadawczo-odbiorczy",two-way|ˌtu:ˈweɪ
tycoon,magnat,taɪˈku:n
type,"drukować
 2.  wpisywać",pisać|taɪp
typecast,ˈtaɪpkɑ:st,
typewriter,maszyna do pisania,ˈtaɪpraɪtə
typewritten,napisane na maszynie,ˈtaɪprɪtən
typhoid,dur,dur brzuszny|tyfus|ˈtaɪfɔɪd
typhoon,tajfun,taɪˈfu:n
typhus,dur plamisty,tyfus|ˈtaɪfəs
typical,charakterystyczny,typowy|ˈtɪpɪkəl
typically,"1.  zazwyczaj
 2.  typowo",ˈtɪpɪkəlɪ
typify,uosabiać,ˈtɪpɪfaɪ
typist,maszynistka,ˈtaɪpɪst
tyrannical,tyrański,tɪˈrænɪkəl
tyranny,tyrania,ˈtɪrənɪ
tyrant,tyran,ˈtaɪrənt
tyre,opona,tire|ˈtaɪə
ubiquitous,ju:ˈbɪkwɪtəs,wszechobecny
udder,wymię,ˈʌdə
uganda,ju:ˈgændə,
ugandan,"i.    ugandyjski
ii.    ugandyjczyk",ju:ˈgændən
ugly,"1.  brzydki
 2.  paskudny",ˈʌglɪ
ukrainian,"i.    ukraiński
ii.    ukrainiec",ju:ˈkreɪnɪən
ulcer,wrzód,ˈʌlsə
ult,ult.,"ultimo
  ubiegłego miesiąca"
ulterior,ʌlˈtɪərɪə,
ultimate,"1.  ostateczny
 2.  najwyższy",ˈʌltɪmət
ultimately,ostatecznie,ˈʌltɪmətlɪ
ultimatum,ˌʌltɪˈmeɪtəm,
ultimo,ult.,"ultimo
  ubiegłego miesiąca"
ultraviolet,ultrafioletowy,ˌʌltrəˈvaɪələt
umbilical cord,pępowina,ʌmˌbɪlɪkəl ˈkɔ:d
umbrella,parasol,ʌmˈbrələ
umpire,"i.    sędzia
ii.    sędziować",ˈʌmpaɪə
umpteen,niezliczona ilość,tysiąc|ˈʌmpˈti:n
un,onz,ˌju:ˈen
unabashed,nie zbity z tropu,ˌʌnəˈbæʃt
unabated,nie słabnący,niezmniejszony|ˌʌnəˈbeɪtɪd
unable,nie móc zrobić czegoś,ʌnˈeɪbəl
unacceptable,nie do przyjęcia,ˌʌnəkˈseptəbəl
unaccompanied,ˌʌnəˈkʌmpənɪd,
unaccountable,1.  nie wyjaśniony,ˌʌnəˈkaʊntəbəl
unaccustomed,"1.  nieprzywykły
 2.  niezwyczajny",ˌʌnəˈkʌstəmd
unanimous,jednogłośny,ju:ˈnænɪməs
unarmed,nieuzbrojony,ʌnˈɑ:md
unassuming,bezpretensjonalny,skromny|ˌʌnəˈsju:mɪŋ
unattached,nie związany małżeństwem,ˌʌnəˈtæʧ
unattended,bez opieki,ˌʌnəˈtendɪd
unauthorized,bez upoważnienia,nieupoważniony|ʌnˈɔ:θəraɪzd
unavoidable,nie do uniknięcia,ˌʌnəˈvɔɪdəbəl
unaware,ˌʌnəˈweə,
unawares,catch,ˌʌnəˈweəz
unbearable,nie do zniesienia,ʌnˈbeərəbəl
unbeatable,nie do pokonania,nie do prześcignięcia|ʌnˈbi:təbəl
unbelievable,niewiarygodny,ˌʌnbɪˈli:vəbəl
unborn,nienarodzony,ʌnˈbɔ:n
unbounded,bezgraniczny,ʌnˈbaʊndɪd
unbroken,bez przerwy,bez zakłóceń|ʌnˈbrəʊkən
unbutton,rozpinać,ʌnˈbʌtən
uncalledfor,nieproszony,uncalled-for|ʌnˈkɔ:ld fɔ:
uncanny,zadziwiający,zagadkowy|ʌŋˈkænɪ
unceasing,nieustanny,ʌnˈsi:sɪŋ
unceremonious,bezceremonialny,ˌʌnserɪˈməʊnɪəs
uncertain,niepewny,ʌnˈsɜ:tən
uncertainty,niepewność,wątpliwość|ʌnˈsɜ:təntɪ
unchallenged,niekwestionowalny,niekwestionowany|ʌnˈʧælənʤd
unchecked,niepohamowany,ʌnˈʧekt
uncivilised,uncivilized,ʌnˈsɪvɪlaɪzd
uncivilized,uncivilised,ʌnˈsɪvɪlaɪzd
uncle,stryj,stryjek|wuj|wujek|ˈʌŋkəl
unclear,ʌŋˈklɪə,
uncomfortable,"1.  niewygodny
 2.  niepewny",źle się czujący|ʌŋˈkʌmfətəbəl
uncommitted,1.  neutralny,"niezaangażowany
 2.  nie związany|ˌʌŋkəˈmɪtɪd"
uncommon,niepospolity,rzadki|ʌŋˈkɒmən
uncomprehending,nie pojmujący,ˌʌŋkɒmprɪˈhendɪŋ
uncompromising,bezkompromisowy,ʌŋˈkɒmprəmaɪzɪŋ
unconcerned,nie troszczący się,niezainteresowany|ˌʌŋkənˈsɜ:nd
unconditional,bezwarunkowy,ˌʌŋkənˈdɪʃənəl
unconscious,ʌŋˈkɒnʃəs,
uncontrolled,niekontrolowany,niepowstrzymany|ˌʌŋkənˈtrəʊld
uncork,odkorkować,ʌŋˈkɔ:k
uncountable,niepoliczalny,ʌŋˈkaʊntəbəl
uncouth,nieokrzesany,ʌŋˈku:θ
uncover,odkrywać,ʌŋˈkʌvə
undaunted,nie powstrzymany,niezastraszony|ʌnˈdɔ:ntɪd
undecided,niezdecydowany,ˌʌndɪˈsaɪdɪd
undeniable,niezaprzeczalny,ˌʌndɪˈnaɪəbəl
undercarriage,podwozie,ˈʌndəkærɪʤ
underclothes,bielizna,ˈʌndəkləʊðz
undercover,tajny,ˈʌndəkʌvə
undercurrent,ukryty nurt,ˈʌndəkʌrənt
undercut,ˌʌndəˈkʌt,
underdeveloped,słabo rozwinięty,ˌʌndədɪˈvelɒpt
underdog,słabsza strona,ˈʌndədɒg
underdone,niedogotowany,niedopieczony|ˌʌndəˈdʌn
underestimate,niedoceniać,ˌʌndərˈestɪmeɪt
underfed,niedożywiony,ˌʌndəˈfed
underfoot,pod nogami,pod stopami|ˌʌndəˈfʊt
undergo,poddawać się,przechodzić|ˌʌndəˈgəʊ
undergraduate,student,ˌʌndəˈgrædjʊət
underground,1.  podziemny,ˈʌndəgraʊnd
undergrowth,poszycie,ˈʌndəgrəʊθ
underhand,potajemny,skryty|ˌʌndəˈhænd
underlie,znajdować się u podstaw,ˌʌndəˈlaɪ
underline,podkreślać,ˌʌndəˈlaɪn
underling,podwładny,ˈʌndəlɪŋ
undermine,podkopywać,ˌʌndəˈmaɪn
underneath,"spodni
iv.    spód",ˌʌndəˈni:θ
underpaid,niedopłacany,ˌʌndəˈpeɪd
underpants,kalesony,majtki|ˈʌndəpænts
underpass,ˈʌndəpɑ:s,
underprivileged,nie mający przywilejów,upośledzony|ˌʌndəˈprɪvɪlɪʤd
underrate,nie doceniać,ˌʌndəˈreɪt
undershirt,koszulka,podkoszulek|ˈʌndəʃɜ:t
underside,spód,ˈʌndəsaɪd
understaffed,ˌʌndəˈstɑ:ft,
understand,pojmować,rozumieć|ˌʌndəˈstænd
understandable,zrozumiały,ˌʌndəˈstændəbəl
understanding,"pojmowanie
 2.  zrozumienie",ˌʌndəˈstændɪŋ
understatement,niedomówienie,ˌʌndəˈsteɪtmənt
understudy,dubler,ˈʌndəstʌdɪ
undertake,ˌʌndəˈteɪk,
undertaker,przedsiębiorca pogrzebowy,ˌʌndəˈteɪkə
undertaking,ˌʌndəˈteɪkɪŋ,
undertone,ˈʌndətəʊn,
undervalue,niedoceniać,ˌʌndəˈvælju:
underwater,"1.  podwodny
 2.  podmorski",ˌʌndəˈwɔ:tə
underway,trwać,ˌʌndəˈweɪ
underwear,bielizna,ˈʌndəweə
underweight,niedowaga,ˌʌndəˈweɪt
underworld,podziemie,świat przestępczy|ˈʌndəwɜ:ld
underwriter,agent ubezpieczeniowy,ˌʌndəˈraɪtə
undesirable,niepożądany,ˌʌndɪˈzaɪərəbəl
undies,bielizna,ˈʌndɪz
undo,1.  rozwiązywać,"rozpinać
 2.  niszczyć|zaprzeczać|ʌnˈdu:"
undoing,klęska,ruina|ʌnˈdu:ɪŋ
undone,rozwiązany,ʌnˈdʌn
undoubted,niezaprzeczalny,ʌnˈdaʊtɪd
undress,rozbierać,rozbierać się|ʌnˈdres
undue,nadmierny,ʌnˈdju:
undulate,falować,ˈʌndjəleɪt
unduly,nadmiernie,ʌnˈdju:lɪ
unearth,odkopywać,wydobywać na światło dzienne|ʌnˈɜ:θ
unearthly,"1.  nieziemski
 2.  nieludzki",ʌnˈɜ:θlɪ
unease,niepokój,ʌnˈi:z
uneasy,niepewny,niespokojny|ʌnˈi:zɪ
unemployed,bezrobotny,ˌʌnɪmˈplɔɪd
unemployment,bezrobocie,ˌʌnɪmˈplɔɪmənt
unending,nie kończący się,ʌnˈendɪŋ
unequivocal,jasny,niedwuznaczny|ˌʌnɪkˈwɪvəkəl
unerring,nieomylny,ʌnˈɜ:rɪŋ
uneven,nierówny,ʌnˈi:vən
uneventful,bez wydarzeń,jednostajny|ʌnɪˈventfʊl
unexpected,niespodziewany,ˌʌnɪksˈpektɪd
unfailing,niezawodny,ʌnˈfeɪlɪŋ
unfair,niesprawiedliwy,ʌnˈfeə
unfaithful,niewierny,ʌnˈfeɪθfʊl
unfamiliar,ˌʌnfəˈmɪlɪə,
unfasten,rozpinać,ʌnˈfɑ:sən
unfavorable,unfavourable,ʌnˈfeɪvərəbəl
unfavourable,unfavorable,ʌnˈfeɪvərəbəl
unfeeling,nieczuły,ʌnˈfi:lɪŋ
unfit,ʌnˈfɪt,
unfold,1.  rozwijać się,"rozwijać
 2.  odsłaniać|ʌnˈfəʊld"
unforeseen,nieprzewidziany,ˌʌnfəˈsi:n
unforgettable,niezapomniany,ˌʌnfəˈgetəbəl
unforgivable,niewybaczalny,ˌʌnfəˈgɪvəbəl
unfortunate,1.  nieszczęśliwy,niedobry|ʌnˈfɔ:ʧənət
unfounded,bezpodstawny,ʌnˈfaʊndɪd
unfriendly,nieprzyjazny,ʌnˈfrendlɪ
unfurnished,nie umeblowany,ʌnˈfɜ:nɪʃt
ungainly,niezgrabny,ʌnˈgeɪnlɪ
unhappy,pożałowania godny,ʌnˈhæpɪ
unharmed,bez uszczerbku,nienaruszony|ʌnˈhɑ:md
unhealthy,"1.  niezdrowy
 2.  chorobliwy",ʌnˈhelθɪ
unheardof,niesłychany,unheard-of|ʌnˈhɜ:dəv
unicef,ˈju:nɪsef,
unicorn,jednorożec,ˈju:nɪkɔ:n
unification,unifikacja,zjednoczenie|ˌju:nɪfɪˈkeɪʃən
uniform,"i.    mundur
ii.    jednolity",ˈju:nɪfɔ:m
uniformity,ujednolicenie,ˌjʊnɪˈfɔ:mɪtɪ
unify,jednoczyć,unifikować|ˈju:nɪfaɪ
unilateral,jednostronny,ˌju:nɪˈlætərəl
uninhabitable,ˌʌnɪnˈhæbɪtəbəl,
uninhabited,niezamieszkany,niezamieszkały|ˌʌnɪnˈhæbɪtɪd
unique,1.  unikalny,"ju:ˈni:k|unikatowy
 2.  wyłączny"
unisex,dla obu płci,obupłciowy|ˈju:nɪseks
unison,"in unison 
 - zgodnie",unisono|ˈju:nɪsən
unit,zespół,ˈju:nɪt
unitarian,"i.    unitariański
ii.    unitarianin",ju:nɪˈteərɪən
unite,jednoczyć,jednoczyć się|ju:ˈnaɪt
unity,jedność,ˈju:nɪtɪ
univ,"univ.
  uniwersytet",
